Product,Star_Rating,Review_Rating,Answered_Questions,MRP,Deal_Price,Url
"Dell Vostro 3405 14"" (35.56cms) HD AG Display Laptop (AMD Silver 3050U / 4GB / 256 SSD / Integrated Graphics / Win 10 + MSO/ Black) D552147WIN9BE",3.8 ,84 ,77 ,"44,176.00","39,999.00",https://www.amazon.in/dp/B08X4NYNHW
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6""(39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/UHD Graphics/Windows 11/MS Office 2021/Platinum Grey/1.7Kg), 81WB018EIN",4.3 ,443 ,73 ,"57,990.00","37,990.00",https://www.amazon.in/dp/B09M41LYSC
"ASUS VivoBook 14 (2021), 14-inch (35.56 cms) FHD, Intel Core i7-1065G7 10th Gen, Thin and Light Laptop (16GB/512GB SSD/Integrated Graphics/Office 2021/Windows 11/Silver/1.6 Kg), X415JA-EK701WS",5.0 ,1 rating,,"82,990.00","59,990.00",https://www.amazon.in/dp/B09LJ4VLHH
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU",4.2 ,262 ,147 ,"46,055.00","39,990.00",https://www.amazon.in/dp/B09FL5CK19
"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6 FHD Thin and Light Laptop (8 GB/256GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Arctic Grey/1.65Kg), 82H801L3IN",4.1 ,144 ,58 ,"61,590.00","39,490.00",https://www.amazon.in/dp/B09MKMGWH4
"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6 FHD Thin and Light Laptop (8 GB/256GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Arctic Grey/1.65Kg), 82H801L3IN",4.1 ,144 ,58 ,"61,590.00","39,490.00",https://www.amazon.in/dp/B09MKMGWH4
"Lenovo IdeaPad 3 10th Gen Intel Core i3 15.6 HD Thin and Light Laptop (8GB/1TB HDD/Windows 11/MS Office 2021/2Yr Warranty/Platinum Grey/1.7Kg), 81WB01BCIN",3.7 ,454 ,54 ,"57,290.00","38,490.00",https://www.amazon.in/dp/B09MKMT64V
Dell New 2021 Inspiron 3511 NB || Intel Core i3-11th Gen || 16 GB Ram || 1TB HDD+256GB SSD || Windows 11 Home+Office 2021 || 32 GB Pendrive sandisk|| FHD Display|Black Color || 1 Yr Warranty,5.0 ,1 rating,5 ,"56,390.00","49,490.00",https://www.amazon.in/dp/B09F5KMH9L
"(Renewed) Lenovo Thinkpad L450 14 inch Laptop (Core I3 5th Gen/4GB/128 GB SSD/Windows 10 Pro/MS Office/Anti Glare Display/Webcam/Bluetooth/Wifi/Integrated Graphics), Black",2.7 ,3 ,,"79,990.00","21,990.00",https://www.amazon.in/dp/B09HV5QSYP
"Dell 14 (2021) Intel i5-1135G7 Laptop, 8GB, 512GB SSD, Windows 10 + MS Office, Integrated Graphics, 14.0 inches FHD Display, Accent Black (Vostro 3400, D552204WIN9BE), 1.59kg",4.0 ,144 ,56 ,"69,000.00","64,000.00",https://www.amazon.in/dp/B09F3RF871
"Acer Extensa 15 Thin & Light Intel Processor Pentium Silver N5030 15.6 inches Business Laptop (4GB RAM/1TB HDD/Windows 11 Home/Integrated Graphic Card/Black/1.9 Kg, EX215-31)",4.2 ,4 ,12 ,"37,890.00","31,290.00",https://www.amazon.in/dp/B09MJ52H9S
"Acer Travelmate Business Laptop Intel Celeron N4020 Dual-core Processor ( 4GB DDR4/ 256GB SSD / Windows 10 Home/Spill Resistant Keyboard) TMB311-31 with 29.4 cm (11.6 Inches) HD Display, Black",4.1 ,5 ,4 ,,,https://www.amazon.in/dp/B09MM8CVRN
"Dell 14 (2021) Ryzen 3-3250U, 8GB, 1TB HDD, Win 11 + MS Office'21, AMD Vega Graphics, 14"" (35.56 cms) FHD Display, Accent Black (Vostro 3405, D552234WIN9B)",3.7 stars,,,"46,375.08","37,890.00",https://www.amazon.in/dp/B09NLS4ZMH
"(Renewed) Hp ProBook 640 G1 4TH Gen Core i5 Laptop, 8 GB RAM, 240GB SSD, Intel HD Graphics, 14 inch (36.83 cms) FHD Screen, Windows 11 (Upgraded), MS Office, Black",Previous page of related Sponsored Products,,,"49,999.00","24,499.00",https://www.amazon.in/dp/B09PVJG644
"(Renewed) Hp ProBook 640 G1 4th Gen Core i5 Laptop, 16 GB RAM, 240GB SSD, Intel HD Graphics, 14 inch (36.83 cms) FHD Screen, Windows 11 (Upgraded), MS Office, Black",Previous page of related Sponsored Products,,,"49,999.00","26,499.00",https://www.amazon.in/dp/B09PVGCLQ1
"ASUS VivoBook 14 (2021), Intel Core i3-1115G4 11th Gen, 14 Inches FHD Business Laptop (8GB RAM/256GB SSD/Office 2019/Windows 10 Home/Integrated UHD Graphics/Silver/1.6 kg), X415EA-EK342TS",4.2 ,210 ,56 ,"51,990.00","39,990.00",https://www.amazon.in/dp/B09BF6S7RX
"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 15.6 inches FHD IPS Business Laptop (16GB/512GB SSD/Windows 10 Home/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.66Kg), 82FG014DIN",4.3 ,267 ,83 ,"78,900.00","61,900.00",https://www.amazon.in/dp/B09G9Z32KW
